시군구명,법정동,아파트명,도로명,지번
강남구,삼성동,푸른솔아파트1동,학동로,4-3
양천구,신월동,세아쎄닛빌,남부순환로,547-5
양천구,신월동,신성미소지움,오목로,1020
양천구,목동,목동신시가지7,목동로,925
동작구,사당동,공감지음포레뷰아파트,솔밭로,235-62
영등포구,당산동,리버뷰,버드나루로,121-130
강남구,일원동,래미안 개포 루체하임,개포로110길,741
성동구,하왕십리동,무학현대,무학봉길,992
강서구,등촌동,대동황토방2,공항대로55길,713
송파구,가락동,e지브로,양재대로66길,16-21
동대문구,답십리동,청계지웰에스테이트,사가정로,498-7
강서구,내발산동,문국,강서로47가길,708-1
동대문구,장안동,장안삼성쉐르빌,장한로,371-1
서초구,잠원동,미주파스텔,잠원로,54
강남구,역삼동,강남센트럴아이파크,테헤란로44길,902
강남구,개포동,개포더샵트리에,개포로,651-1
양천구,신월동,신도브래뉴2차,화곡로3길,1031
양천구,목동,목동신시가지3,목동서로,903
강남구,도곡동,경남,논현로,967
강남구,도곡동,대림아크로빌,언주로30길,467-6
중구,황학동,DUO302,난계로,819
송파구,장지동,위례아이파크,위례광장로,894
강남구,세곡동,강남데시앙파크,헌릉로590길,525
송파구,풍납동,쌍용,올림픽로47길,401-1
강동구,성내동,포레스(A동),풍성로,111-64
중구,황학동,청계랜드힐아파트,난계로17길,1531
서대문구,북가좌동,DMC한양,응암로,431
금천구,독산동,아셈그린힐,독산로78다길,184-3
송파구,신천동,한빛웰리스,송파대로,7-17
송파구,풍납동,잠실올림픽공원아이파크,올림픽로43길,514
용산구,한강로3가,센트럴파크,서빙고로,98
성동구,성수동1가,동아,왕십리로,656-320
구로구,구로동,(794-12),도림로10길,794-12
강동구,강일동,고덕리엔파크2단지,고덕로,717
구로구,구로동,우성에비뉴,디지털로32가길,1284
도봉구,방학동,우암쎈스뷰아파트,도봉로146길,713-12
강남구,개포동,개포자이,개포로109길,12-2
강서구,염창동,염창동한강우성,양천로67길,66-9
마포구,망원동,미원2,월드컵로29길,433-9
영등포구,도림동,도림청구,도영로7길,221-1
강서구,염창동,극동상록수,공항대로71길,280
영등포구,양평동5가,동보,양평로23길,9-1
도봉구,방학동,청구아파트,해등로,734
노원구,하계동,한신2,공릉로,284
동대문구,이문동,현대,한천로58길,54
성북구,삼선동4가,코오롱,삼선교로23길,73
노원구,공릉동,신원아파트,동일로192나길,370-4
노원구,월계동,청백3,월계로45가길,780
용산구,이촌동,현대한강,이촌로34길,400
노원구,월계동,월계역신도브래뉴,광운로,942
송파구,송파동,송파삼성래미안아파트,오금로32길,162
강동구,길동,다성이즈빌,천호대로175길,456-4
강서구,화곡동,강서뉴타워,화곡로18길,1071-19
강서구,내발산동,수산오성,강서로45나길,721-3
서초구,양재동,신영체르니,논현로27길,90
서대문구,연희동,연희파크푸르지오,홍제천로,747
마포구,용강동,마포대림1,마포대로1길,500
관악구,신림동,우정하이비전,양지길,1721
서초구,방배동,롯데캐슬아르떼,방배천로18길,424-28
강남구,도곡동,럭키(963),논현로,963
서초구,서초동,대성유니드,서초대로64길,1641-3
강남구,대치동,포스코더샵,삼성로,902
영등포구,영등포동1가,내이처해밀,경인로114길,145
강남구,논현동,신동아(22),강남대로146길,22
은평구,갈현동,효민아크로뷰,통일로,395-2
강남구,일원동,디에이치자이개포,영동대로,743
양천구,목동,극동늘푸른,목동중앙본로,752-1
동작구,대방동,대방2차e-편한세상,알마타길,507
양천구,신정동,목동경동미르웰,중앙로,972-2
강남구,도곡동,도곡1차아이파크,도곡로28길,543-7
강동구,길동,다성이즈텔,성안로,416-3
강남구,청담동,청담건영,도산대로89길,108
노원구,월계동,녹천역두산위브아파트,마들로5길,950
송파구,마천동,우방아파트,성내천로,576
마포구,신공덕동,브라운스톤공덕아파트,백범로,170
서초구,잠원동,신반포자이,잠원로,160
도봉구,창동,"은성드림존101동,102동",덕릉로59나길,603-25
송파구,장지동,송파파인타운8단지,충민로4길,842
성북구,하월곡동,동일하이빌뉴시티,종암로,230
도봉구,쌍문동,백조,노해로38길,724
도봉구,방학동,우성아파트2,해등로,508
중구,장충동1가,장충동라임카운티,동호로20가길,105-1
영등포구,양평동3가,우림루미아트,선유로33길,102
구로구,오류동,금강,서해안로34가길,335
강남구,청담동,청담아이파크,영동대로142길,130
동작구,사당동,남해오네뜨,사당로2가길,1143
은평구,역촌동,역촌월드,역말로,19-3
용산구,한강로2가,아스테리움용산,한강대로30길,419
은평구,진관동,구파발9단지래미안(916~928동)BL3-2,진관3로,25
송파구,오금동,현대(2-4차),오금로35길,43
서초구,서초동,서초화원그랑빌,반포대로21길,1510-15
은평구,녹번동,청록MS(91-9),은평로21길,91-9
송파구,거여동,송파레이크파크호반써밋Ⅰ,위례송파로,597
서초구,서초동,서초한신,남부순환로323길,1454-29
강서구,화곡동,스카이(924-10),곰달래로18길,924-10
송파구,잠실동,갤러리아팰리스,올림픽로,40
용산구,이촌동,이촌동삼성리버스위트,이촌로88길,426
동대문구,장안동,양지쉐르빌아파트(415-1),천호대로77길,415-1
동대문구,휘경동,캠퍼스드림오피스텔,이문로,336-32
서초구,서초동,아크로비스타,서초중앙로,1685-3
서초구,방배동,삼성래미안1,방배선행길,2626
서초구,잠원동,신반포4,잠원로,70
송파구,송파동,금강KCC,송이로,164
송파구,장지동,위례중앙푸르지오2단지,위례광장로,896
강남구,역삼동,강남서해그랑블,논현로63길,796-29
영등포구,당산동3가,쌍용예가클래식,당산로31길,559
구로구,구로동,(796-12),도림로6길,796-12
강남구,압구정동,현대8차(성수현대:91~95동),압구정로,481
강남구,삼성동,롯데캐슬프레미어,선릉로126길,11
강남구,대치동,신성미소시티,역삼로,904-10
강남구,개포동,개포주공7단지,개포로,185
도봉구,창동,상아2차아파트,노해로63가길,300
중랑구,묵동,신도,공릉로13길,167
중구,회현동1가,남산롯데캐슬아이리스,소공로,208
은평구,대조동,아이안빌,통일로,4-18
구로구,신도림동,대림e-편한세상4,경인로65길,646
구로구,오류동,라인,경인로,334
은평구,수색동,진흥엣세벨,은평터널로,416-1
구로구,천왕동,천왕이펜하우스4단지,천왕로,273
강남구,삼성동,아이파크,영동대로,87
영등포구,영등포동7가,여의휴젠느,국회대로56길,94-99
양천구,신정동,대성유니드2차,중앙로29길,1198-3
노원구,공릉동,건영아파트,동일로173가길,404-3
마포구,중동,동원월드타운,성암로5길,395
용산구,이촌동,우성,이촌로,399-1
노원구,중계동,경남,섬밭로,505
서초구,반포동,반포리체,고무래로,30-26
양천구,신월동,신월6차보람,곰달래로7길,125
영등포구,당산동3가,당산어울림2차,양산로17길,563
서대문구,북가좌동,DMC두산위브,증가로,459
마포구,노고산동,신촌포스빌,신촌로,1-3
구로구,항동,하버라인2단지,연동로,237
강남구,논현동,한진로즈힐,도산대로46길,105-4
영등포구,대림동,우성1,도림로,696
구로구,구로동,극동,구로중앙로7길,314
송파구,장지동,송파파인타운10단지,송파대로8길,856
관악구,남현동,흥화브라운빌,남현길,1132
서초구,방배동,브라운스톤방배,서초대로26길,899-16
관악구,남현동,예촌그린,남부순환로256나길,1072-46
강북구,번동,동문,오현로,657
중랑구,신내동,동성타워프라자,봉화산로,786
관악구,봉천동,낙성대현대아파트,남부순환로248길,179-58
구로구,구로동,비즈트위트레드,가마산로,104-8
은평구,진관동,상림마을7단지아이파크(713~718동)BL1-11,진관4로,15
은평구,신사동,신성수정,은평터널로7길,358
강동구,길동,동삼빌라트,천호대로197길,107
강동구,성내동,파크프라자,양재대로89길,428-2
동대문구,회기동,회기힐스테이트,회기로26길,351
송파구,송파동,성지,송이로12길,171
강서구,등촌동,우성,화곡로68길,630-3
송파구,가락동,테라펠리체송파,동남로,166-6
성동구,행당동,행당두산위브,행당로8길,375
노원구,공릉동,서진프라자아파트,동일로173가길,492-3
광진구,자양동,이튼타워리버1차,능동로,510-5
도봉구,창동,대림e-편한세상,노해로63길,822
서초구,방배동,이연아마빌레,동광로,814-31
구로구,고척동,우성꿈동산,경인로47다길,321
은평구,대조동,정익제이원6차,통일로,186-12
강남구,대치동,대우아이빌명문가(891-23),선릉로90길,891-23
관악구,봉천동,서울대입구아이원(1560-61),청룡길,1560-61
중랑구,망우동,대보,양원역로,236-7
은평구,불광동,대호프라자아파트,불광로,631-1
중구,묵정동,힐스테이트남산,퇴계로46길,35
영등포구,여의도동,목화,여의나루로,30
중랑구,망우동,경남,양원역로,226
동작구,신대방동,현진에버빌,신대방1나길,716
강남구,삼성동,삼부아파트(101동),봉은사로111길,99-13
중랑구,면목동,용마산금호어울림,용마산로,1525
서초구,방배동,동부센트레빌,방배로,3275
마포구,도화동,정우상가맨션,토정로37길,536
송파구,삼전동,현대1,백제고분로22길,39
서대문구,연희동,홍연(723-9),홍연6길,723-9
서대문구,홍제동,유원하나,세검정로,454
강동구,명일동,다성이즈빌(346-12),양재대로130길,346-12
강서구,방화동,동부센트레빌,양천로3길,870
강동구,둔촌동,한솔,풍성로63길,490-9
광진구,광장동,삼성광장2,아차산로,453-1
용산구,효창동,효창베네스,효창원로69길,272
마포구,성산동,골든빌(210-10),성미산로11길,210-10
종로구,무악동,경희궁롯데캐슬,통일로,89
양천구,목동,목동성원(926-8),목동서로,926-8
성동구,송정동,서울숲아이파크,동일로,104
은평구,응암동,대주피오레,백련산로,669-1
은평구,진관동,구파발10단지어울림(1011~1019동)BL3-1,진관3로,27
용산구,문배동,용산KCC웰츠타워,백범로90길,11-10
은평구,구산동,경남아너스빌,갈현로11길,224
송파구,거여동,송파레이크파크호반써밋Ⅱ,위례송파로,607
송파구,가락동,sk파크타워,오금로,166-2
은평구,불광동,북한산대창센시티,불광로,71-16
노원구,월계동,사슴3,월계로55길,320-11
강동구,길동,라인,천중로50길,365-1
구로구,고척동,벽산베스트블루밍,고척로60길,342
강남구,개포동,디에이치아너힐즈,삼성로,1281
구로구,구로동,우방,구일로,642-46
구로구,구로동,신도림로제리움,공원로8길,43-1
강남구,도곡동,우성캐릭터빌,언주로,467-18
구로구,개봉동,대상,개봉로1길,477
강북구,수유동,수유시그니티,도봉로73길,87-5
금천구,독산동,리버스타운,범안로12길,1006-139
송파구,문정동,문정대우푸르지오1차,문정로,18
강서구,마곡동,마곡엠밸리8단지,마곡서1로,741
광진구,자양동,자양7차현대홈타운,능동로4길,788
용산구,한남동,리버탑,독서당로6길,802
강남구,역삼동,래미안그레이튼(진달래2차),도곡로,762-3
강남구,대치동,"대치우성아파트1동,2동,3동,5동,6동,7동",영동대로,63
용산구,한강로2가,용산푸르지오써밋(420),한강대로,420
용산구,문배동,용산큐브,백범로90길,24-4
송파구,거여동,현대3차,거마로,46
동대문구,장안동,네오빌,장한로22길,339-7
송파구,풍납동,대동1,풍성로15길,172
서초구,서초동,우정에쉐르,서운로3길,1355-24
영등포구,양평동1가,이너스삼성,선유서로26길,269
영등포구,여의도동,수정,국제금융로7길,32
서대문구,홍은동,홍은동풍림아이원,홍은중앙로,460
동작구,상도동,아이파크,장승배기로,416
동작구,흑석동,흑석한강센트레빌,흑석한강로,335
서대문구,대현동,신촌자이엘라,신촌로,104-36
서대문구,홍제동,홍제원현대(459-0),통일로34길,459
구로구,신도림동,우성2,신도림로,639
도봉구,쌍문동,한양5,해등로25길,59-3
구로구,구로동,순영웰라이빌1차,가마산로27길,106-10
강북구,수유동,수유현대,한천로,729
성북구,돈암동,돈암동 풍림아파트 101~105동,북악산로,632
강서구,화곡동,태영방송인,등촌로13자길,1140
금천구,독산동,예전이룸(965-1),시흥대로150길,965-1
강서구,화곡동,태승훼밀리,국회대로7길,887-1
강서구,마곡동,한림리첸빌102동,양천로,1170
동작구,대방동,우정,여의대방로62길,505
서초구,서초동,서초2차e-편한세상,효령로49길,1529
은평구,진관동,상림마을8단지롯데캐슬(821~830동)BL1-12,진관3로,20
강동구,천호동,강동이루미아파트,양재대로123길,46
은평구,진관동,은평뉴타운 제각말 푸르지오(5-4단지),연서로,92
은평구,신사동,에코벨리,증산로,34-7
노원구,하계동,현대,섬밭로,270
노원구,상계동,금호타운,한글비석로46나길,1270
노원구,상계동,한신1차,한글비석로46가길,135
은평구,대조동,대경아르체아파트,진흥로,26-14
관악구,봉천동,삼성아트빌(1690-163),남부순환로249길,1690-163
용산구,청파동1가,목화,청파로47나길,84-3
강서구,공항동,스카이,공항대로7길,14-10
용산구,한남동,대림아르빌,대사관로11길,808
도봉구,방학동,벽산아파트1,방학로11길,275
은평구,응암동,거장메카,은평로,91-3
도봉구,방학동,방학동삼성래미안2,도봉로150길,715-12
마포구,망원동,성신,포은로,433-3
송파구,송파동,호수임광,송파대로48길,33
노원구,상계동,한신3차,한글비석로46가길,458
용산구,보광동,리버빌(삼성),보광로5길,151
송파구,풍납동,송파현대힐스테이트,풍성로26길,511
양천구,목동,하이페리온2,오목로,961
양천구,신월동,강국,월정로,24-5
양천구,신월동,동방,신월로,607-1
강남구,압구정동,한양8(81동한개동),압구정로,510
서초구,반포동,래미안퍼스티지,반포대로,18-1
서초구,서초동,서초5차e편한세상,명달로4길,1467-62
관악구,신림동,한양,미성5길,1563-82
금천구,독산동,금천현대,벚꽃로,711-2
영등포구,신길동,신길레전드힐스,가마산로,261-22
동작구,대방동,다울,대방동2길,375-16
동대문구,이문동,대우,한천로58길,45
강남구,논현동,세호시티라이프,강남대로128길,122-25
강남구,도곡동,한라비발디,남부순환로365길,972
중랑구,신내동,우남푸르미아,봉화산로56길,802
서초구,잠원동,훼미리,잠원로,51
서초구,서초동,서초트레져,명달로,1492-5
서초구,잠원동,한신타운,나루터로4길,60-4
송파구,장지동,송파와이즈더샵,위례광장로,895
은평구,대조동,해오름시티,통일로67길,9-40
송파구,풍납동,금강캐스빌,풍성로25나길,513
서대문구,홍제동,무악재한화,통일로,464
은평구,신사동,신사성원,갈현로4길,360
은평구,대조동,삼성타운,서오릉로,231
관악구,봉천동,은천누리에뜰,은천로,622-3
서초구,서초동,래미안서초스위트,서운로,1301-6
서초구,우면동,서초네이처힐1단지,형촌길,707
강동구,길동,현대1,천호대로,470
금천구,독산동,청광플러스원,두산로11길,1139
강서구,마곡동,한솔솔파크,양천로30길,716
강남구,도곡동,래미안도곡카운티,도곡로,538-3
중구,중림동,성요셉,서소문로6길,149
강남구,대치동,한보미도맨션2,삼성로,511
강서구,마곡동,마곡나루경남아파트,양천로30길,1577
강남구,도곡동,울트라멤버스,남부순환로381길,162-4
양천구,신월동,신월2차보람쉬움,오목로1길,1039
양천구,목동,신한이모르젠,목동중앙북로,960
성북구,하월곡동,수산동양빌,오패산로4길,223
양천구,신정동,팰리스필,신정중앙로15길,872-6
송파구,송파동,잠실더샵루벤,송이로12길,171
송파구,오금동,대림,위례성대로,2
강동구,길동,동서울오네뜨,양재대로124길,339-1
강동구,명일동,명일우성,고덕로62길,42
강동구,천호동,천호동1차예전이룸아파트,양재대로121길,49-4
강서구,염창동,아르체움등촌,공항대로,275
강서구,화곡동,중앙화곡하이츠,강서로17가길,351-89
강서구,화곡동,천우네오젠9차,강서로7길,916-6
서대문구,홍제동,인왕산벽산,세무서길,465
노원구,월계동,극동,덕릉로60길,803-1
노원구,중계동,주공7,한글비석로8길,363-1
노원구,중계동,라이프,중계로,366
서대문구,충정로3가,충정솔레디움(101동),경기대로3길,30-17
양천구,목동,행복자,목동중앙북로8가길,627-2
양천구,목동,목동트윈빌,목동동로,905-22
마포구,용강동,이편한세상마포리버파크,토정로31길,508
마포구,용강동,대림2차,토정로32길,501
성북구,성북동,성북,성북로31길,348-3
광진구,광장동,광장현대9단지,아차산로69길,576
강남구,역삼동,금호어울림,도곡로7길,835-67
광진구,구의동,세양,구의강변로,658
광진구,자양동,롯데캐슬리버파크시그니쳐, ,863
광진구,자양동,현대3,뚝섬로58길,670
광진구,자양동,우성1,뚝섬로41길,579
용산구,한남동,한남동동원베네스트,독서당로,522-1
강남구,역삼동,역삼2차아이파크,도곡로57길,765-32
강남구,청담동,PH129,압구정로79길,129
동작구,사당동,대성유니드,동작대로29길,1155
중랑구,묵동,SM해그린,공릉로2나길,390
중랑구,중화동,삼익아파트.상가동,중랑역로,438
관악구,남현동,남현동한일유앤아이,남부순환로256라길,1136
영등포구,영등포동1가,창방누리애,경인로114가길,40-1
서초구,서초동,현대서초3,사임당로23길,1644
동대문구,장안동,현대썬앤빌601,장한로,373-3
동대문구,장안동,공감대(440-12),장한로8길,440-12
동대문구,이문동,투니온,이문로,256-2
양천구,목동,동구햇살아파트,목동중앙남로,724-2
은평구,신사동,신사동한신휴플러스,갈현로1길,365
서대문구,북가좌동,세라,증가로24바길,3-74
관악구,봉천동,관악중앙하이츠포레,장군봉13길,1737
광진구,자양동,한화꿈에그린,뚝섬로24길,853
은평구,진관동,폭포동4단지힐스테이트(426~428동)BL3-11,연서로44길,135
서대문구,남가좌동,백련미라보,가재울로6길,345-4
서대문구,연희동,일진아이윌,동교로,218-16
강북구,미아동,경남아너스빌,삼양로74길,796
강남구,역삼동,개나리래미안,역삼로,754
강남구,압구정동,"현대7차(73~77,82,85동)",압구정로,456
강서구,화곡동,"대성3,4호(379-58,나동)",가로공원로77길,379-58
강남구,삼성동,삼성동대성유니드,테헤란로77길,129
동작구,사당동,삼성,동작대로35아길,1140
강북구,번동,삼성,도봉로98길,470-1
동작구,신대방동,신대방경남,신대방길,712
동대문구,장안동,스마트트라움,장한로26가길,364-7
용산구,문배동,이안용산1차(102동),백범로90길,7-6
송파구,장지동,위례신도시송파푸르지오,위례광장로,878
서초구,방배동,삼호2,방배로43길,758-4
관악구,신림동,신림동신도브래뉴,조원로16길,1722
구로구,고척동,동아한신,중앙로6길,327
송파구,마천동,현대그린빌,마천로,181
성북구,돈암동,돈암동더샵아파트,아리랑로5길,603
서초구,잠원동,대주피오레아파트,강남대로95길,31-14
성북구,동소문동7가,한신플러스C,동소문로15길,23
구로구,고척동,고척LIG리가1차,중앙로12길,340
양천구,신월동,신월대림,오목로13길,491-1
강남구,청담동,삼성청담공원아파트,도산대로96길,60
서대문구,연희동,대림,연희로32길,700
은평구,진관동,마고정3단지센트레빌(301~309동)BL2-11,진관1로,106
도봉구,창동,수산트리플,우이천로20길,817
관악구,봉천동,대우디오슈페리움2단지,관악로,856-1
서초구,방배동,방배신동아럭스빌,방배로1길,1026-14
노원구,상계동,한일유앤아이,노원로28길,1309
노원구,공릉동,동부아파트,공릉로,705
용산구,이촌동,이촌코오롱(B),이촌로89길,414
성북구,돈암동,돈암힐스테이트,아리랑로,639
양천구,신월동,우진,곰달래로13길,91-10
도봉구,도봉동,양우내안애,도봉로180나길,656
강동구,강일동,강일리버파크1단지,아리수로93가길,665
강동구,명일동,현대(고덕),동남로71길,56
양천구,신정동,로마아트빌,중앙로23길,1148-7
양천구,신월동,수명산SKVIEW,월정로,1053
용산구,이촌동,로얄맨숀,이촌로75길,301-10
양천구,목동,월드메르디앙2,목동중앙본로1길,948
강동구,성내동,중앙하이츠,양재대로95길,410-2
서초구,방배동,방배 서리풀 그랑블,서초대로34가길,3279
서대문구,충정로3가,우리유앤미,경기대로,466
강동구,명일동,중앙,상암로47길,326-9
서대문구,홍은동,홍은센트레빌,통일로,461
영등포구,신길동,대방,여의대방로,4312
노원구,공릉동,화랑타운아파트,화랑로51길,111
노원구,상계동,노원IPARK,상계로23다길,1318
은평구,응암동,재연,응암로25길,122-26
영등포구,여의도동,순복음(초원),국회대로76가길,11-1
강서구,내발산동,이너스101동,강서로47길,688-5
강서구,등촌동,등촌6차보람,화곡로66길,716
노원구,중계동,현대1(4차),중계로8길,577
마포구,중동,DMC마포청구아파트,성암로11길,390
강서구,내발산동,마곡수명산파크3단지,수명로1길,751
금천구,시흥동,탑스빌,금하로30길,268-46
강서구,염창동,DH팰리스,양천로,263-7
송파구,장지동,송파파인타운2단지,충민로,835
광진구,자양동,한라아파트,뚝섬로35길,762
광진구,광장동,현대홈타운12차,천호대로,580
광진구,광장동,청구,아차산로,566
중랑구,신내동,다우훼밀리,송림길,796
강서구,화곡동,상진지오벨리,등촌로13다길,1160
구로구,구로동,우성(23),공원로6가길,23
중랑구,망우동,금호어울림(580),양원역로,580
강서구,내발산동,내츄럴1차,강서로47마길,695
구로구,신도림동,우성3,신도림로21길,637
구로구,구로동,영화참마음,구일로8길,1268
성북구,하월곡동,아남,종암로36길,218
서초구,반포동,궁전,사평대로,65-1
서초구,서초동,현대아파트,효령로68길,1346
서초구,방배동,서리풀e편한세상,효령로33길,906-13
마포구,신공덕동,대우월드마크마포,백범로,173
마포구,아현동,마포래미안푸르지오2단지,마포대로,777
마포구,아현동,마포래미안푸르지오1단지,마포대로,777
마포구,대흥동,마포자이2차,서강대길,804
서초구,반포동,반포푸르지오,신반포로15길,10
서초구,서초동,서초롯데캐슬프레지던트,서초중앙로24길,1681-8
서초구,잠원동,동아,신반포로33길,157
서초구,서초동,서초삼성래미안,사임당로17길,1641-1
송파구,풍납동,이트리움송파(281-4),풍성로14길,281-4
서초구,서초동,동원베네스트아파트,효령로74길,1350-13
서초구,서초동,새티스2,반포대로3길,1472-21
서초구,잠원동,신반포27,잠원로8길,56-2
서초구,반포동,반포훼미리(101동),주흥11길,713-1
서초구,반포동,반포두산힐스빌,고무래로10길,54-5
서초구,반포동,반포2차ApelBaum,사평대로12길,612-2
서초구,신원동,서초포레스타6단지,청계산로9길,619
서초구,방배동,방배2차e-편한세상,서초대로33길,881-26
서초구,잠원동,잠원현대훼밀리,신반포로,59-3
서초구,방배동,방배아트e-편한세상103,효령로2길,484-6
서초구,잠원동,강변,잠원로,53-15
강남구,역삼동,시티프라디움더강남101동,언주로,900
마포구,신수동,하나테크노빌,백범로,22-35
강남구,삼성동,삼부아그레빌,영동대로114길,98-11
강남구,역삼동,e-편한세상,선릉로69길,755-4
강남구,대치동,대치SKVIEW,삼성로51길,1029
강남구,수서동,삼성,광평로31길,747
강남구,도곡동,현대아파트1동~3동,도곡로18길,961
강남구,대치동,롯데캐슬리베,도곡로,1025
마포구,신공덕동,신공덕e편한세상,백범로,168
강남구,역삼동,래미안그레이튼,도곡로43길,763-16
강남구,압구정동,현대13차(208~211동),압구정로29길,448
강남구,압구정동,한양3,압구정로,489
성동구,마장동,삼성,마장로,817
성동구,성수동2가,서울숲힐스테이트,성수일로4길,843
성동구,성수동2가,금호타운2차아파트,연무장길,832
성동구,송정동,금호베스트빌,광나루로,103
마포구,마포동,강변한신코아,마포대로4다길,350
마포구,신수동,벽산솔렌스힐,광성로,457
강남구,삼성동,영무예다음,봉은사로72길,122-7
마포구,망원동,시티,포은로6길,504
마포구,합정동,마포한강2차푸르지오,월드컵로3길,473
강서구,등촌동,제일(코오롱),화곡로66길,642
영등포구,여의도동,롯데캐슬엠파이어,의사당대로,36
영등포구,여의도동,한양,국제금융로,42
영등포구,여의도동,은하,63로,52
영등포구,여의도동,대우트럼프월드Ⅰ,여의동로,55-1
영등포구,문래동5가,문래모아미래도,선유로9나길,67
영등포구,양평동4가,삼호한숲,선유로47길,94
영등포구,양평동1가,한신공영,영등포로12길,14-1
강서구,방화동,강서센트레빌3차(894-0),방화대로41길,894
동대문구,답십리동,대림,답십리로60길,808
구로구,구로동,중앙하이츠(1269),구로동로47길,1269
광진구,자양동,한강성원,능동로3길,831-1
광진구,자양동,한솔리베르,뚝섬로56가길,672
광진구,자양동,이튼타워리버2차,능동로,507-6
구로구,개봉동,동인,서해안로34가길,335-1
광진구,화양동,테라팰리스건대1차,아차산로25길,531
광진구,자양동,자양동현대,뚝섬로56길,645-5
광진구,자양동,자양2현대,뚝섬로34길,761
구로구,개봉동,한양아이클래스구로,개봉로23가길,493
광진구,자양동,자양현대6,자양번영로3길,786
구로구,구로동,(791-62),디지털로27라길,791-62
노원구,중계동,금호타운(583),중계로12길,583
영등포구,여의도동,장미,국제금융로7길,40
영등포구,여의도동,대교,국제금융로7길,41
관악구,남현동,삼성홈타운,승방3나길,602-200
관악구,신림동,태영,신림로,1424-28
관악구,신림동,그대家,난곡로,1727
관악구,신림동,보라매갑을,관천로24길,1718
노원구,상계동,임광,노원로,694
도봉구,쌍문동,쌍문금용,노해로,321
서초구,잠원동,한신,잠원로,56-3
서초구,잠원동,반포르엘,신반포로23길,163
서초구,서초동,래미안서초에스티지S,서운로,1754
서초구,서초동,래미안서초에스티지,서운로,1332-13
서초구,서초동,서초1차e-편한세상,명달로6길,1487-63
노원구,중계동,동진신안,중계로,364
동작구,사당동,삼성아파트,사당로26길,1037-9
양천구,신월동,동도센트리움,오목로17길,1052
동작구,동작동,금강KCC,동작대로39가길,331
동작구,사당동,닷컴캐슬,남부순환로255나길,449-28
동작구,대방동,대방동현대,등용로,502
양천구,신정동,목동2삼성래미안,목동남로4길,1295
양천구,신정동,이펜하우스2단지,신정이펜2로,1322
양천구,신정동,힐탑이루미,은행정로17길,1305
양천구,목동,현대I-PARK,목동로,940
양천구,신월동,양천벽산블루밍2단지,월정로9길,1027
용산구,이촌동,중앙하이츠(A),이촌로84길,300-17
서대문구,남가좌동,DMC파크뷰자이4단지,가재울미래로,385
중랑구,신내동,석탑,용마산로125길,787
중랑구,신내동,라이프미성,용마산로129나길,487
송파구,신천동,잠실푸르지오월드마크,올림픽로35가길,11-4
용산구,산천동,한강타운,새창로8길,204
용산구,이촌동,리버뷰,이촌로,300-27
서대문구,연희동,충우,연희로15길,105-16
성북구,정릉동,갤럭시더정릉,정릉로,150-27
은평구,응암동,녹번역센트레빌,백련산로,762
은평구,응암동,해태드림타운,은평로,738
은평구,대조동,주주베에이,통일로67길,9-14
종로구,내수동,경희궁의아침3단지,사직로8길,72
성북구,장위동,석계역한일노벨리아시티,화랑로,8-2
성북구,석관동,중앙하이츠,한천로76길,110-2
성북구,정릉동,우방,북악산로,1016
성북구,보문동3가,이편한세상보문,낙산길,230
성북구,장위동,참누리아파트,한천로101길,316-5
은평구,불광동,북한산래미안아파트(2단지),진흥로,637
강동구,천호동,다성씨티아파트,천중로39길,53-9
강동구,성내동,현대,천호옛12길,30-2
강동구,둔촌동,신동아파밀리에,양재대로96길,555
강북구,번동,장원(101),오현로,148-500
은평구,녹번동,해주드림빌,응암로,279-1
용산구,한남동,대성이태리하우스,한남대로27길,809
송파구,장지동,송파파인타운7단지,충민로4길,844
송파구,풍납동,현대1,올림픽로,413-1
강서구,화곡동,한울에이치밸리움B동,강서로33길,1065-2
종로구,당주동,세종,세종대로23길,100
강남구,개포동,개포현대200동,언주로,655-1
중랑구,묵동,묵동자이(2단지),동일로,170-1
동대문구,답십리동,한신휴플러스그린파크,답십리로38길,1001
송파구,가락동,현대(6차),송이로19길,55
강동구,강일동,강일리버파크3단지,아리수로93길,674
강서구,마곡동,마곡엠밸리4단지,마곡서로,738
서대문구,홍은동,북한산두산위브,홍은중앙로3길,467
관악구,봉천동,서울대입구삼성,관악로,1591-2
성동구,성수동1가,강변건영아파트,왕십리로,710
강서구,염창동,염창2차보람,공항대로59다길,271-4
금천구,독산동,진도2차,두산로,1133
금천구,독산동,삼익,남부순환로120길,956
서초구,잠원동,롯데캐슬갤럭시,잠원로14길,50
용산구,신계동,용산e편한세상,원효로,48
은평구,불광동,태양아파트,불광로,16-61
종로구,숭인동,롯데캐슬천지인,종로,76
성북구,하월곡동,베로니스,화랑로1길,90-700
강동구,강일동,강일리버파크6단지,아리수로94길,684
관악구,봉천동,미래,남부순환로,1654-14
영등포구,신길동,루나플라체,영등포로,69-20
용산구,청파동3가,베르체,효창원로72길,132-15
강동구,천호동,삼익아파트,상암로12길,288-5
마포구,염리동,마포프레스티지자이,대흥로,532
서초구,잠원동,킴스빌리지,잠원로3길,71-12
서초구,반포동,팔라디오,사평대로28길,551
마포구,상수동,상수두산위브,독막로18길,396
송파구,문정동,그랜빌캐슬,새말로,70-16
강남구,대치동,선경2차(8동-12동),삼성로,506
강남구,청담동,청담4차이-편한세상,학동로73길,28-20
